1,1,1,1;-35
1,2,1,1;34
1,3,1,2;-33
2,2,1,3;16
1,2,1,2;34
2,3,1,2;-33
2,4,1,3;8
1,4,2,3;32
3,3,2,2;-15
3,5,2,4;-15
1,3,1,3;20
2,7,1,4;28
1,5,2,3;32
4,5,3,5;4
3,4,1,3;-31
1,5,1,3;32
1,4,1,3;-19
3,3,2,4;-7
3,5,3,4;4
3,7,3,5;-5
1,7,2,4;-29
5,8,4,5;4
1,8,1,5;42
1,6,3,4;30
3,4,1,7;8
0,4,1,6;36
0,3,4,5;-3
2,2,1,2;12
2,3,1,5;-31
4,5,3,3;6
2,5,1,8;14
4,8,2,7;4
1,6,1,3;22
4,7,3,5;4
3,3,1,5;-31
2,4,2,3;12
2,3,2,3;10
3,8,4,5;10
3,6,1,4;-31
1,6,2,7;-27
0,3,4,7;-9
4,4,1,6;6
4,8,3,5;4
3,6,2,4;-33
2,4,1,4;12
1,6,1,8;22
0,3,3,7;4
0,5,3,8;4
6,7,4,8;-39
4,6,3,5;4
0,2,4,8;30
0,3,1,6;-29
5,6,0,4;2
8,8,0,5;2
5,7,4,6;-7
0,5,4,6;-3
1,8,3,3;30
3,4,3,4;6
2,6,2,3;-25
0,4,1,7;28
4,4,3,6;4
0,6,0,5;2
0,3,3,5;-3
1,8,2,4;-31
7,8,1,6;6
4,8,3,8;10
1,4,1,2;34
3,8,2,5;-13
3,4,2,7;8
3,5,1,6;6
0,4,0,3;8
0,1,3,6;8
0,4,5,8;8
2,3,1,3;10
1,7,3,6;30
2,5,3,3;14
0,1,0,4;4
0,1,7,8;4
1,3,1,4;-33
1,7,3,4;30
1,6,2,4;-35
4,6,0,1;4
0,4,3,8;4
5,7,4,5;4
1,5,2,4;12
1,4,1,6;12
6,7,4,4;-37
2,5,1,6;34
2,5,1,7;16
0,5,4,7;-3
0,2,3,6;32
0,0,5,6;-1
5,7,0,3;2
0,1,4,4;-5
1,4,1,4;18
5,6,3,7;4
2,7,3,6;6
2,5,1,4;18
0,3,0,3;-3
3,4,2,4;-11
0,2,1,6;14
2,3,1,6;34
3,8,2,6;12
3,5,2,5;-15
4,5,2,4;-45
0,6,0,3;2
0,2,1,8;28
0,1,1,6;-21
0,3,0,4;-3
5,6,2,7;-35
1,8,1,1;-27
4,7,3,6;10
6,8,2,5;4
4,6,0,3;2
0,0,0,6;-1
0,2,5,6;34
5,6,0,2;4
2,8,3,5;6
0,7,0,4;2
0,3,1,7;-29
0,1,1,4;-25
7,8,4,8;-27
4,7,1,5;-11
3,4,1,8;10
6,7,3,4;4
1,6,2,3;40
0,1,0,2;10
3,8,2,2;14
