1,1,1,1;0
1,2,1,1;0
1,3,1,2;0
2,2,1,3;34
1,2,1,2;54
2,3,1,2;52
2,4,1,3;34
1,4,2,3;22
3,3,2,2;24
3,5,2,4;-33
1,3,1,3;0
2,7,1,4;-49
1,5,2,3;-51
4,5,3,5;32
3,4,1,3;40
1,5,1,3;0
1,4,1,3;0
3,3,2,4;24
3,5,3,4;0
3,7,3,5;16
1,7,2,4;0
5,8,4,5;-31
1,8,1,5;38
1,6,3,4;0
4,13,5,8;30
3,4,1,7;14
2,2,1,2;40
4,9,1,6;8
2,3,1,5;32
4,5,3,3;-23
5,9,5,8;10
2,5,1,8;0
1,11,2,7;48
3,9,4,5;30
8,10,5,9;6
4,8,2,7;12
1,6,1,3;0
4,7,3,5;16
3,3,1,5;24
2,4,2,3;22
2,3,2,3;32
3,8,4,5;22
3,6,1,4;-49
1,6,2,7;16
3,9,4,7;12
3,7,1,11;-47
4,4,1,6;18
4,8,3,5;22
7,13,1,11;8
3,6,2,4;32
2,4,1,4;36
1,6,1,8;16
1,15,4,9;34
7,7,3,9;-11
4,11,3,7;10
1,18,3,7;46
4,6,3,5;16
3,4,3,4;14
3,8,2,5;16
3,5,1,6;0
5,10,4,7;-15
0,3,1,18;-45
1,13,2,5;48
2,3,1,3;52
1,10,3,4;28
1,7,3,6;30
2,5,3,3;-23
4,13,1,10;18
7,14,5,10;14
1,7,3,4;-39
1,6,2,4;38
3,10,4,5;30
5,7,4,5;50
1,5,2,4;0
5,9,1,8;10
3,10,1,6;26
1,14,4,13;0
0,4,1,14;0
1,4,1,6;0
1,11,3,5;0
2,5,1,6;0
2,5,1,7;0
4,9,1,7;20
3,12,3,7;14
1,4,1,4;0
5,6,3,7;-15
5,17,8,10;-21
2,7,3,6;34
3,4,2,4;34
9,13,8,10;0
2,3,1,6;24
3,13,4,8;30
3,5,2,5;22
6,10,1,7;10
7,10,4,8;-11
4,5,2,4;-35
4,14,3,9;6
1,17,6,10;48
5,13,5,9;6
8,9,4,13;-29
7,9,5,6;12
5,6,2,7;-33
1,14,3,7;6
4,8,3,9;8
4,7,3,6;8
6,8,2,5;10
0,3,3,12;-13
7,8,3,13;10
