1,1,1,1;-15
1,2,1,1;14
1,3,1,2;-13
2,2,1,3;8
1,2,1,2;14
2,3,1,2;12
2,4,1,3;6
1,4,2,3;10
3,3,2,2;-7
3,5,2,4;-7
1,3,1,3;8
0,4,3,5;6
0,3,0,4;2
1,5,2,3;-11
4,5,3,5;4
3,4,1,3;6
0,3,4,5;-3
1,5,1,3;12
3,5,2,2;-5
1,4,1,3;6
3,3,2,4;14
3,5,3,4;4
0,2,1,5;8
0,5,0,4;2
2,2,1,2;8
2,3,1,5;-11
0,1,2,4;-5
4,5,3,3;4
3,3,1,5;6
2,4,2,3;6
2,3,2,3;16
0,3,1,5;10
0,5,4,5;-3
2,4,1,4;6
0,0,0,3;-1
0,1,1,4;-5
3,4,3,4;4
0,0,0,5;-1
0,1,1,5;6
0,3,3,5;-3
1,4,1,2;6
0,4,0,3;2
2,4,1,5;6
0,3,1,4;10
0,1,0,3;-9
2,3,1,3;12
1,5,1,1;-7
0,3,2,4;-5
0,2,3,5;4
2,4,0,1;4
3,3,1,4;6
2,5,3,3;6
2,3,1,4;-11
1,3,1,4;8
0,1,3,4;-5
0,5,0,3;2
0,3,2,2;-3
3,5,1,4;-7
1,5,0,1;2
1,2,1,5;6
4,4,0,3;2
3,4,2,3;4
1,5,2,2;12
3,5,2,3;4
0,1,1,3;-7
0,1,0,2;4
0,2,3,3;-13
1,5,2,4;-9
0,2,2,3;-15
4,4,3,5;4
2,5,1,5;4
0,2,1,4;-9
3,5,3,5;4
0,2,0,3;4
4,5,0,3;2
1,4,1,5;6
3,5,0,2;2
0,2,2,4;18
0,1,2,3;10
0,4,3,4;8
0,4,1,5;4
0,3,3,4;-3
0,0,4,4;-1
4,5,2,3;4
2,5,3,5;4
0,4,0,5;2
0,5,2,4;-3
0,0,3,5;-1
4,4,0,2;2
5,5,2,5;4
3,3,0,1;-9
1,4,1,4;6
3,4,0,1;4
0,5,5,5;-3
0,0,1,5;-1
5,5,0,2;2
2,3,2,2;-7
2,5,1,4;6
0,1,1,2;14
0,1,2,5;-5
0,3,0,3;2
3,4,2,4;-9
2,5,2,4;-21
0,3,0,2;-3
0,5,3,5;-3
3,5,2,5;4
0,5,4,4;-3
5,5,1,4;4
0,2,0,1;4
3,3,2,3;14
0,1,3,3;-5
4,5,2,4;12
1,4,2,2;10
0,5,2,5;-3
3,5,1,1;-5
5,5,3,5;4
2,5,2,3;6
0,3,0,5;2
0,4,5,5;-7
2,5,0,1;2
0,0,0,4;-1
0,4,4,5;-13
0,4,0,4;2
2,3,1,1;14
0,0,4,5;-1
4,4,2,5;4
0,3,4,4;-3
1,4,0,1;4
3,4,2,5;4
3,3,1,1;12
0,2,5,5;-5
0,1,0,1;-5
0,3,1,1;-3
0,5,0,5;2
0,2,0,5;2
4,4,1,3;4
4,4,0,1;4
0,5,3,4;-3
0,1,3,5;4
3,5,0,1;2
1,5,1,4;-7
0,2,2,5;18
0,2,0,2;-17
4,4,3,3;4
1,3,0,1;-13
2,5,1,2;6
3,4,2,2;-7
2,5,3,4;6
0,5,0,2;2
0,4,1,3;4
2,2,1,4;8
0,4,0,1;8
3,5,0,4;2
4,5,3,4;4
0,1,1,1;-5
5,5,2,4;6
1,5,1,5;4
0,2,3,4;4
0,5,2,2;-3
0,2,4,5;-11
0,3,2,5;-5
2,5,0,3;2
3,4,0,2;2
2,5,0,2;2
3,5,3,3;4
1,4,3,3;-11
2,3,0,1;6
0,3,5,5;-3
1,4,0,3;2
4,4,2,3;4
0,1,5,5;-3
4,5,0,2;2
5,5,0,4;2
3,5,1,2;-5
0,1,0,4;-3
2,3,2,5;16
0,4,3,3;8
3,4,1,5;6
2,4,1,1;10
4,5,2,2;12
0,3,2,3;-5
0,3,0,1;-3
1,3,2,3;-13
0,4,2,2;0
0,5,1,1;-3
0,5,1,5;-3
5,5,1,1;4
1,4,1,1;8
0,0,5,5;-1
3,4,1,1;12
2,5,1,1;6
0,4,0,2;2
0,2,0,4;2
4,5,1,1;10
0,2,1,3;12
0,0,2,5;-1
0,0,1,4;-1
4,5,1,4;10
1,4,3,5;4
1,3,2,2;-13
4,5,0,1;2
2,5,1,3;6
0,1,4,4;-3
0,4,1,4;4
2,2,0,1;4
0,4,2,5;20
1,2,0,1;4
2,5,2,5;4
2,4,3,5;4
0,4,1,1;16
0,2,4,4;-7
0,5,0,1;2
1,4,2,5;4
0,0,0,2;-1
1,3,1,1;-11
5,5,3,4;4
5,5,2,2;6
1,3,2,5;-13
0,5,1,4;-3
0,1,2,2;-7
3,5,4,4;-7
1,5,4,5;4
0,2,1,1;16
4,5,0,4;2
2,5,2,2;-19
1,2,1,4;10
2,2,2,2;0
4,4,1,1;6
4,5,4,5;4
0,0,3,4;-1
3,4,1,4;6
1,5,0,4;2
3,4,1,2;6
5,5,1,3;4
1,5,0,2;2
2,4,1,2;6
0,2,2,2;-15
1,3,2,4;-13
3,5,1,3;4
4,5,2,5;4
1,4,3,4;8
1,5,3,4;-11
0,1,0,5;2
1,5,3,5;4
0,4,2,3;8
2,3,2,4;16
5,5,0,3;2
3,3,2,5;14
3,3,0,2;4
2,2,1,1;14
3,5,0,3;2
5,5,2,3;4
1,1,2,2;-15
0,0,0,1;-1
4,4,1,4;4
0,1,4,5;-9
3,3,1,3;6
5,5,1,5;4
0,2,1,2;-15
2,4,2,2;0
1,3,0,2;4
1,5,2,5;4
2,4,2,5;4
4,5,1,3;4
3,5,4,5;4
2,4,0,2;2
0,3,1,2;-3
1,5,1,2;-9
4,5,4,4;14
2,3,0,2;4
4,5,1,5;4
1,2,1,3;10
1,4,2,4;10
2,4,3,4;6
0,5,1,3;-3
4,4,3,4;4
3,4,3,5;4
4,4,1,5;4
